state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Diourbel:Diourbel,0.182030666096608,0.0351737382936243,2012,0.2410088284009682,0.2922560039571644,0.1954803408898099
Africa:Senegal:Diourbel:Diourbel,,,2013,0.2589764803680243,0.3148366882171353,0.2099825318912584
Africa:Senegal:Diourbel:Diourbel,0.3524664256215786,0.0318157815511394,2014,0.2787138292811897,0.3188805245692839,0.2424011286568998
Africa:Senegal:Diourbel:Diourbel,0.2256121230839881,0.0146199788942283,2015,0.2437106516241694,0.2703371150693072,0.2188214420059405
Africa:Senegal:Diourbel:Diourbel,0.2619215732161045,0.0486174783996929,2016,0.2402187279916257,0.281462865595337,0.2035278344426905
Africa:Senegal:Diourbel:Diourbel,0.2857514903512107,0.0435984697861806,2017,0.2503181653044968,0.2923685025818607,0.2128472318972916
Africa:Senegal:Diourbel:Diourbel,0.2435169203306585,0.018769934078188,2018,0.2476427168667666,0.2807879012461514,0.2172800968958403
Africa:Senegal:Diourbel:Diourbel,0.3448941061390817,0.0747823483004902,2019,0.2557833781895685,0.3135335619111061,0.2060188923937008
Africa:Senegal:Diourbel:Diourbel,,,2020,0.2533519306369186,0.3353485269263905,0.1862032121073
Africa:Senegal:Diourbel:Diourbel,,,2021,0.2512845934954513,0.3520356636433631,0.1720194006110935
Africa:Senegal:Diourbel:Diourbel,,,2022,0.2496397360500862,0.366590941361288,0.1607210351218228
Africa:Senegal:Diourbel:Diourbel,,,2023,0.2484114717687917,0.3801032044230317,0.1513062738945783
Africa:Senegal:Diourbel:Diourbel,,,2024,0.2475957862359218,0.3931257139236277,0.1432582732862825
Africa:Senegal:Diourbel:Diourbel,,,2025,0.2471897533575511,0.4059949210605361,0.1362579621697267
Africa:Senegal:Fatick:Fatick,,,1990,0.2796953978953842,0.4056154409973057,0.1805816029883969
Africa:Senegal:Fatick:Fatick,,,1991,0.2802868684940915,0.3883166856500653,0.1925194683472562
Africa:Senegal:Fatick:Fatick,,,1992,0.2814787484128332,0.3691538626600137,0.2075706235104321
